año,alcaldia,colonia,bimestre,indice_des,CPDomestico,CTDomestico,CPNODomestico,CTNODomestico,CPMixto,CTMixto,consumo_total,consumo_prom
2019,AZCAPOTZALCO,TIERRA NUEVA,3,BAJO,14.9,29.79,5.43,32.59,37.23,260.63,323.01,21.53
2019,AZCAPOTZALCO,PROVIDENCIA,3,BAJO,42.77,128.32,0.0,0.0,11.0,11.0,139.32,23.22
2019,AZCAPOTZALCO,PUEBLO SAN JUAN TLIHUACA,3,BAJO,33.16,2818.95,12.61,37.82,51.0,254.99,3111.76,33.46
2019,AZCAPOTZALCO,PROVIDENCIA,3,BAJO,39.58,1187.29,40.0,80.0,95.76,191.51,1458.8,42.91
2019,AZCAPOTZALCO,SANTA INES,3,BAJO,49.86,99.72,34.4,103.21,0.0,0.0,202.93,40.59
2019,AZCAPOTZALCO,TIERRA NUEVA,3,BAJO,22.72,590.74,4.73,18.91,32.32,161.6,771.25,22.04
2019,AZCAPOTZALCO,SANTA INES,3,POPULAR,73.55,1765.27,28.68,28.68,56.72,226.89,2020.84,69.68
2019,AZCAPOTZALCO,EX HACIENDA DEL ROSARIO,3,BAJO,26.38,474.91,17.08,17.08,0.0,0.0,491.99,25.89
2019,AZCAPOTZALCO,EX HACIENDA DEL ROSARIO,3,BAJO,30.25,635.23,5.6,11.2,28.06,28.06,674.49,28.1
2019,AZCAPOTZALCO,EX HACIENDA DEL ROSARIO,3,BAJO,29.78,446.68,5.49,5.49,34.93,69.86,522.03,29.0
2019,AZCAPOTZALCO,EX HACIENDA DEL ROSARIO,3,MEDIO,26.5,476.94,0.0,0.0,45.76,45.76,522.7,26.14
2019,AZCAPOTZALCO,EX HACIENDA DEL ROSARIO,3,BAJO,36.09,433.11,15.46,46.38,34.33,103.0,582.49,32.36
2019,AZCAPOTZALCO,PRADOS DEL ROSARIO,3,MEDIO,21.87,983.96,20.13,20.13,72.25,216.75,1220.84,24.92
2019,AZCAPOTZALCO,PRADOS DEL ROSARIO,3,BAJO,38.38,230.28,102.2,511.01,35.68,71.37,812.66,62.51
2019,AZCAPOTZALCO,AMPLIACION SAN PEDRO XALPA,3,BAJO,55.65,779.13,16.66,33.32,49.64,397.15,1209.6,50.4
2019,AZCAPOTZALCO,AMPLIACION SAN PEDRO XALPA,3,BAJO,64.09,961.42,19.36,19.36,58.12,232.46,1213.24,60.66
2019,AZCAPOTZALCO,AMPLIACION SAN PEDRO XALPA,3,BAJO,41.12,82.23,4.63,13.88,28.18,112.7,208.81,23.2
2019,AZCAPOTZALCO,AMPLIACION SAN PEDRO XALPA,3,POPULAR,26.74,267.43,11.59,11.59,106.35,531.74,810.76,50.67
2019,AZCAPOTZALCO,AMPLIACION SAN PEDRO XALPA,3,BAJO,45.24,452.41,9.56,19.11,26.91,215.26,686.78,34.34
2019,AZCAPOTZALCO,AMPLIACION SAN PEDRO XALPA,3,BAJO,59.47,892.03,4.38,4.38,70.78,637.01,1533.42,61.34
2019,AZCAPOTZALCO,AMPLIACION SAN PEDRO XALPA,3,BAJO,43.87,526.44,62.68,125.36,37.75,226.49,878.29,43.91
2019,AZCAPOTZALCO,AMPLIACION SAN PEDRO XALPA,3,BAJO,40.69,366.24,5.49,5.49,33.48,133.92,505.65,36.12
2019,AZCAPOTZALCO,AMPLIACION SAN PEDRO XALPA,3,BAJO,73.77,1254.15,2.13,4.27,75.02,150.04,1408.46,67.07
2019,AZCAPOTZALCO,AMPLIACION SAN PEDRO XALPA,3,BAJO,43.79,613.05,0.0,0.0,31.5,251.99,865.04,37.61
2019,AZCAPOTZALCO,AMPLIACION SAN PEDRO XALPA,3,BAJO,53.24,1011.58,15.37,46.12,59.38,593.8,1651.5,51.61
2019,AZCAPOTZALCO,AMPLIACION SAN PEDRO XALPA,3,BAJO,42.99,816.76,24.64,123.2,30.46,304.62,1244.58,36.61
